Subjects,groups,Likelihoods,Weights,Intercept,OI,OIc,Tr,LLabel,Gamma,Phase
60,0,0.024,0.993802930472651,0.00116363991604645,0.975577,0.899466973333333,75,1,1736.11111111111,0
60,0,0.06,0.981797933028321,0.00205908554586143,0.885162,0.745001533333333,75,2,277.777777777778,0
62,0,0.024,0.990316106959523,0.000677702483139447,0.9387115,0.866510743243243,74,1,1736.11111111111,0
62,0,0.06,0.939158549995681,-0.00270439788705669,0.918435,0.814503693333333,75,2,277.777777777778,0
66,0,0.024,0.966143851189604,0.00220114954161949,0.9644695,0.931702378378378,74,1,1736.11111111111,0
66,0,0.06,0.870126084600407,0.000264644281591421,0.960763,0.875402013513513,74,2,277.777777777778,0
68,0,0.024,0.98949691009711,0.00101183299355815,0.9291755,0.893300594594595,74,1,1736.11111111111,0
68,0,0.06,0.989419071992326,-0.00394148827095886,0.894802,0.789321739726027,73,2,277.777777777778,0
70,0,0.024,1.03177861230686,-0.00117800213673267,0.777985,0.763946972972973,74,1,1736.11111111111,0
70,0,0.06,0.964889533022485,0.00332393852276338,0.924914,0.792354851351351,74,2,277.777777777778,0
74,0,0.024,0.998649690123403,-0.000125145325868966,0.9681,0.90939325,72,1,1736.11111111111,0
74,0,0.06,1.00157490084768,0.000705172366088838,0.947809,0.821177151515151,66,2,277.777777777778,0
80,0,0.024,0.985459043632493,0.00107756445912748,0.934822,0.893650277777778,72,1,1736.11111111111,0
80,0,0.06,0.940895241369567,-0.0024712537484925,0.906369,0.811393373333333,75,2,277.777777777778,0
82,0,0.024,0.995629711024127,0.00159647970184247,0.982286,0.917845014285714,70,1,1736.11111111111,0
82,0,0.06,0.982279020656928,0.00428360745580417,0.8652035,0.747699648648649,74,2,277.777777777778,0
84,0,0.024,0.949895405918793,0.00251822820864856,0.9657995,0.923391378378378,74,1,1736.11111111111,0
84,0,0.06,0.939742771511936,0.000776229547475448,0.950509,0.8404432,65,2,277.777777777778,0
88,0,0.024,0.887246446328193,0.0010594940341373,0.977053,0.957505013333333,75,1,1736.11111111111,0
88,0,0.06,0.844930424589256,0.00254056803703217,0.970374,0.876947081081081,74,2,277.777777777778,0
90,0,0.024,1.00283514742948,0.000732184331984882,0.967629,0.882001273972603,73,1,1736.11111111111,0
